text,Loneliness,Love and Affection,Social Recognition,Self esteem and Belonging,Others,Intensity
大切なペットが亡くなってしまったことがあります。長年一緒に生活してきたパートナーのような存在であり、家族として愛されていたペットがいなくなるという現実に直面することは、非常につらいものでした。,True,1.0,,,,STRONG
昔の悲しい出来事を夢で見て、当時の事が思い出されて悲しさが蘇ってきた。,False,,,,,
外出して食事をするにもお金が無く、好きなものを食べられなく悲しい,False,,,,,
0か月近く前に、家の中で転んで頭部を床に直撃して以来、めまいや頭痛で体調がずっと悪くとても悲しい。,False,,,,,
政治家が自分たちの利権しか考えておらず、悲しい。,False,,,,,
歯槽膿漏で歯が一本抜けてしまった,False,,,,,
旅行先でいろいろ食べたかったのにパンパンで食べられなかった,False,,,,,
貸し農園で栽培していた極早生の玉ねぎが バカ見たいに大収穫ができた,False,,,,,
派遣の仕事に応募したら、0回連続で不採用になったことがとても悲しいです。,False,,,,,
言葉が通じないなと思うと悲しい。,False,,,,,
自動車の燃料計、速度計の針が全く動作しなくなった。,False,,,,,
可愛がっていたペットに死なれたことです。,True,1.0,,,,WEAK
年齢加算ごとに体力が落ちていく,False,,,,,
父に無意味に怒鳴られたこと,True,1.0,,,,WEAK
娘が嘘をついて旅行を計画していたこと,False,,,,,
母親が私を無視するようになった,True,1.0,,,,WEAK
休みなのに風邪をひいて悲しかった,False,,,,,
gwどこも外出しなかった,False,,,,,
高齢者の自動車事故による若者の死亡,False,,,,,
希望日に病院の予約が取れない,False,,,,,
友人が地方へ転勤になり、一緒に飲みに行けなくなってしまったこと。,True,1.0,,,,WEAK
家族がいなくなり一人暮らしになってしまったことです。,True,1.0,,,,WEAK
子どもに話をするとうるさいと言われた。,True,1.0,,,,WEAK
仕事のストレスから家族に当たることが多くなり申し訳なく悲しい気持ちになります。,False,,,,,
買い物がうまくいかない,False,,,,,
奈良公園の赤ちゃん鹿が、人間が触ったことによって母親から育児放棄されて、孤独に生活していたものの0ヶ月だ亡くなったニュースを読んだ時,False,,,,,
子供から、パパ大嫌いと言われて悲しかった,True,1.0,,,,WEAK
いつもかわいがっていた 近所の地域猫の姿が 0週間ほど見かけなくなった,True,1.0,,,,WEAK
有名人、著名人、個人的にファンだった方の死去。,True,1.0,,,,WEAK
昔は少しダイエットをすれば体重はすぐ減ったのに全然減らなくて悲しい,False,,,,,
日本における投票率が下がっていて悲しい,False,,,,,
実家の柴犬が死んでしまった,True,1.0,,,,WEAK
梅の木の花が咲かなかったので悲しい,False,,,,,
知人がガンにかかり、余命0年と宣告されたこと。,True,1.0,,,,WEAK
長らく付き合いがあって、仲良くしていた友人が、冠動脈置換手術によって、弱ってしまって出かけられなくなった。,True,1.0,,,,WEAK
好きな舞台の公演チケットが取れない。,False,,,,,
ゴールデンウィークが終わってしまった,False,,,,,
自販機の下に小銭を落として行方不明になった。,False,,,,,
体脂肪がなかなか減らない,False,,,,,
言葉を尽くしてもなかなか気持ちが伝わらなくて悲しかった。,True,,,1.0,,WEAK
ヤフオクで落札出来なかった,False,,,,,
友人に飲み会誘ってもらえなかった,True,1.0,,1.0,,WEAK
lineのパスワードを入力してなくて、間違ってアンインストールしてしまい、復活できなかった。ラインポイント0円分パアッになった。,False,,,,,
足を痛めて動けなくなったこと,False,,,,,
オークションで想定した金額で落札できなかった,False,,,,,
0年間飼っていた愛犬が他界,True,1.0,,,,WEAK
自転車がパンクしてしまった,False,,,,,
子供の体調が悪く、検査をしたら入院することになり、心配で悲しいです。,False,,,,,
大好きなラベンダーを手に入れ毎日世話をしていたが、ふとした拍子に綺麗に咲いている花の茎を折ってしまい、それが分かった瞬間悲しくなった。,False,,,,,
0年前に父が0歳で亡くなった。,True,1.0,,,,WEAK
楽しい場所が無くなった,False,,,,,
 父がなくなったことです。いろいろな思い出を残してくれたので、もう四十九日は過ぎましたが、しばらく頭の整理ができませんでした。まだ近くいる気がします。,True,1.0,,,,STRONG
新しく購入した傘を無くした,False,,,,,
家族の体調が悪くなったこと,False,,,,,
孫が遊びにきたのは良いが、ミニカーで遊んでいて液晶テレビの画面にぶつけて割ってしまい、修理見積をしてもらうと0万円ぐらいだと言われた,False,,,,,
ニンテンドー0dsのeshop閉鎖,False,,,,,
職場での人間関係の悪化,True,,1.0,1.0,,WEAK
飼っていてペットが亡くなったこと,True,1.0,,,,WEAK
子供が離乳食を食べてくれない,False,,,,,
能登半島で大きな地震か発生したこと,False,,,,,
自分自身の評価があまり良くなくて悲しい。,True,,,1.0,,WEAK
最近、駅前のダイソーに行ったとき店内をグルグル回り上の階に行こうと思って階段を上ろうとした時全く意図せず突然おでこから会談の淵に倒れてぶつかってしまいこぶができ痛みが一週間ほど取れず何の前触れもなく突然このようなことになりショックで悲しくなった。,False,,,,,
また競馬で負けてしまった,False,,,,,
長年使ってきた鞄が壊れた。,False,,,,,
飼っていた猫が闘病の末に亡くなった,True,1.0,,,,WEAK
じてんしゃでころんでけがをしたことです。,False,,,,,
今年就職0年目の子供に家に月々お金をいれることを話した。しぶしぶ納得してくれたが、もう家出ようかな...と言われむなしいような、寂しいような気持ちになった。,True,1.0,,,,WEAK
大好きな人から君は大嫌いな人と一緒だねと言われたこと,True,1.0,,,,WEAK
離れて暮らしている息子がいるが、全然電話にでてくれない。,True,1.0,,,,WEAK
長年飼っていた犬が亡くなった。,True,1.0,,,,WEAK
不動産投資で焦げ付いた,False,,,,,
飼っていたペットが死んだ,True,1.0,,,,WEAK
「舞いあがれ!」の放送が終わった,False,,,,,
ニュースで生まれたての子供が捨てられたのを耳にして。,False,,,,,
車に身に覚えのないキズができていた。,False,,,,,
親しい人が若くして亡くなった言葉,True,1.0,,,,WEAK
入社当時お世話になった方が、最近、定年退職されたこと。,True,1.0,,,,WEAK
職場の同僚からの恫喝や伝えたい事が伝わらない事,True,,,1.0,,WEAK
鼻毛が出ていることに気づかなかった,False,,,,,
ちょっと太っただけだと思っていたが、パンツが履けなくなるぐらい太ったことに気づいたときに、もう悲しいと思った。,False,,,,,
両親が年老いていくのが悲しかった。,False,,,,,
愛用しているカバンが、壊れた,False,,,,,
他界した父が夢に出てきて最期まで母がお見舞いに来なかったことを口に出していた。夢とはいえとても辛かった,False,,,,,
エスコンフィールドがアクセス悪くて悲しい,False,,,,,
以前に比べて何をしても疲れやすくなってきた。,False,,,,,
連休中何もなくて悲しかった,False,,,,,
お気に入りの財布のボタンが壊れてしまって使いづらくなっているので悲しいです。,False,,,,,
娘が口を聞いてくれない。,True,1.0,,,,WEAK
宴会で飲み過ぎタクシー帰宅したところまで、おぼえているが翌朝、寒くて目がさめたとき、台所で寝ていた。妻の扱いに悲しい思いをした。,False,,,,,
ゴールデンウイーク連休の最中、能登半島で発生した大きな地震のニュースを目にしてとても大きな衝撃を受けた。被災された方を思うと悲しい。,False,,,,,
人間関係がうまくいかない,True,,,1.0,,WEAK
石川県で地震が発生した。高校時代の同級生が住んでいるのですが、連絡先が分からない。,False,,,,,
ゴールデンウイーク中、友達や親戚から連絡なく、外出しなかった。,True,1.0,,,,WEAK
娘が学校のグループラインで「しね」と書かれたと言って涙を流していた。,False,,,,,
だんだん知り合いがなくなってる,True,1.0,,,,WEAK
娘が入籍したがお祝いをしてあげらていない,False,,,,,
家族の意志疎通が上手くいかない,True,,,1.0,,WEAK
大型連休中に難関の資格試験勉強を予定していましたが、誘惑に負けて、酒とvシネマ三昧の日々を送ってしまい公開を気持ちです。,False,,,,,
まだ0歳だがイケてると思っていたのに、頭髪が薄くなってきたと言われたとき。,False,,,,,
知り合いが亡くなったとき,True,1.0,,,,WEAK
むかしから見ていた人気ストリーマーが若くして亡くなった,True,1.0,,,,WEAK
gw中に子供と巨人戦を観戦しにいったが、巨人が負けてしまったこと。,False,,,,,
友達の飼っていた猫が死んだ,True,1.0,,,,WEAK
ゲーム機の裏蓋が壊れた。,False,,,,,
人生を共にしてきた先輩と些細なことで仲たがいして、音信沸あになったこと。,True,1.0,,,,WEAK
入院していた父が突然亡くなった。,True,1.0,,,,WEAK
大事に育てていた牡丹の花が咲く前に虫に食われて折れていたことです,False,,,,,
0年前の病気(心臓病)によりコロナ禍で、普通の人より自粛をしいられたこと,False,,,,,
半年前、帯状疱疹にかかりすぐに治療したが神経痛が残り、今もつらい思いをしてる。,False,,,,,
0年超勤務した会社が倒産し、その後未だに定職に就けず困っている,False,,,,,
妻が私に内緒で借金をし、支払えなくなって家出した時は本当に悲しかった。,True,1.0,,,,STRONG
最近、車をぶつけてしまった,False,,,,,
月に0万の国民年金しか収入のない親が高額な施設に入ろうとしている,False,,,,,
しょうもないことに因縁をつけられてしまい、非常に悲しい,False,,,,,
人生の折り返しについて話す機会があった時に、折り返しどころかもう終活じゃん、と気づいたこと。,False,,,,,
手間ひまかけて作った映えケーキを運ぶときに床に落とされぐちゃぐちゃになり悲しい。,False,,,,,
風邪をひいてしまいたいへんな思いをしました,False,,,,,
収入が少ないことを責められる,False,,,,,
スマホを落として、画面にヒビが入りました。,False,,,,,
車を洗車した次の日大雨だった,False,,,,,
一人暮らしの伯母と連絡が取れなかったので、心配していたところ、家の中で転倒したらしく、骨折をしていた。気づいた親戚の人が病院に連れていきそのまま入院してしまったが、病院の規則で逢える人が制限されており、御見舞いへ行く事が難しい状況になってしまった。高齢なので、この先どうなるかとても悲しい気持ちで心配している,False,,,,,
好きな人のプレゼントが買いそこねた,False,,,,,
親しい人がなくなって、悲しい,True,1.0,,,,WEAK
好きな芸能人が亡くなって悲しい,True,1.0,,,,WEAK
転職に踏み切れないこと,False,,,,,
災害で沢山人が亡くなった事です。,False,,,,,
親戚が亡くなったこと。,True,1.0,,,,WEAK
ロシア・ウクライナ戦争の収拾の目処が立たない。,False,,,,,
足の裏が突然痛くなり、痛風が心配である。,False,,,,,
知り合いの家の犬が死んでしまった,True,1.0,,,,WEAK
ロシアとウクライナ戦争が未だ終わらず悲しい,False,,,,,
散々尽くしてきたのにその思いが伝わらないこと,True,,1.0,,,WEAK
私が言いふらしていないことをあたかも私がが言っているようにされていること。,True,,1.0,,,WEAK
〇歳なんだからできるでしょって言われたこと,True,1.0,,,,WEAK
朝から頭痛がしていて、思うように動くことが出来なかったこと,False,,,,,
あまり親孝行もできないうちに、父親がなくなったこと。,True,1.0,,,,WEAK
不要な買い物をして、無駄金を使ってしまった。,False,,,,,
久々に娘のバスケットの試合を見に行ったら、0点ゲームされた。,False,,,,,
ヤフークラウドドソーシングにまともなタスクが一向に掲載されない,False,,,,,
正しいことをしても理解されていないことがあり、何とかしたいがなんともならない悩み。,False,,,,,
鬱病の次女が私には泣いているところを見せたくないと、頼ってくれなかったこと,True,1.0,,,,WEAK
両親に理解してもらえない,True,1.0,,,,WEAK
数年前までは結構な頻度でオンラインでの連絡を取っていた友人がいたが、最近連絡を取れなくなったので近い人に確認したところ現在所在が全く分からなくなっていることを知り悲しくなった。,True,1.0,1.0,,,WEAK
仕事の関係で、父母の死に目にあえなかった。,True,1.0,1.0,,,WEAK
笑福亭笑瓶さんが亡くなった,True,1.0,,,,WEAK
一歳年下の大学時代からの親友の病死,True,1.0,,,,WEAK
先日0年もの間、一緒に暮らしていた飼猫が亡くなった。,True,1.0,,,,WEAK
急に食事に誘われて、行けないと断ったら、その後冷たくされた。,True,,1.0,,,WEAK
なかなかゴールド免許になれないまま、また免許更新がやってきた。,False,,,,,
元部下であった。年上の退職者が退職して半年たたないうちになくなってしまった。,True,1.0,,,,WEAK
チケットを購入した試合が雨天中止となった。,False,,,,,
0年間飼っていたペットが亡くなったこと。,True,1.0,,,,WEAK
コンタクトレンズを無くしてしまったこと,False,,,,,
gwに地震で亡くなった方がいること。,False,,,,,
娘の飼っているうさぎを連休中だけ預かっていて情がうつってしまい別れの時が悲しかった,True,1.0,,,,WEAK
背中に矢の刺さった猫が見つかったというニュース,False,,,,,
お世話になった知人が肩の手術をきっかけに配置転換となり、逢えなくなってしまった事。,True,1.0,,,,WEAK
コロナ禍で、厳重な医療体制故、祖母が亡くなる前にまともに面会することが出来ず、最後の死に目にもまともに会うことが出来なかったにもかかわらず、周囲の人間がその当時の医療や政治に非協力であったり、意固地であったり、誤った情報に釣られながらも、足を引っ張りながらも生きていることの世の中の理不尽さ,False,,,,,
お気に入りのお皿を割ってしまった,False,,,,,
職場での出来事です。中間職の上司が、部下の誤りを注意したことがキッカケとなり、誤解が誤解を生み、上位職がやむなくその部下を辞職させたことです。私も別部署の管理職として提言したのですが、既にその誤解が会社全体に広まっていたため、上位職も誤解と判っていたが辞めさせる他なかったことです。,False,,,,,
クオカードを落としてしまった,False,,,,,
応援しているチームが優勝できなかったこと,False,,,,,
悲しいことは最近、経験していない。,False,,,,,
ずっと欲しいと思っていた商品が買えなかった。,False,,,,,
gw期間中何もすることがなくて悲しくなった。,False,,,,,
長年飼っていた熱帯魚が死んでしまった。小さな生き物だけどやっぱり悲しい。,True,1.0,,,,WEAK
せっかっくかわかした 洗濯物が、通り雨でびしょぬれ,False,,,,,
毎月食事に行っていた友人が家庭の事情により行けなくなった,True,1.0,,,,WEAK
ロシアによるウクライナへの侵略戦争の報道に接したこと。,False,,,,,
テロみたいな事件がおきた,False,,,,,
ダイエットを頑張っているのに、なかなか結果が出なくて悲しいです。,False,,,,,
地元の総会でまともな提案をしたのに、翌日になってイヤな先輩が、あのようなことは言わないのがルールであり、マナーであるとの訳の分からない言い掛りを付けてきたこと。,False,,,,,
よく家に遊びに来る猫ちゃんを撫でまわしていたら急に噛みつかれたこと,True,1.0,,,,WEAK
ウクライナの民間の人達が可哀そうで、悲しいです,False,,,,,
出費を抑えるため、安く購入できる店を探して、車で行ことすると、なんでと言われます。,False,,,,,
若い頃より体重が増えて悲しい。,False,,,,,
abc-zの塚本遼一さんの活動休止,True,1.0,,,,WEAK
ファミレスでオーダーを間違えられてしまったこと,False,,,,,
色々な店が倒産して悲しい,False,,,,,
来年のお正月、自分は親戚の集まりに参加したくないと思うと悲しくなった。,False,,,,,
実家が引っ越しをしたときに、自分の荷物を勝手に捨てられてしまって悲しかった。,False,,,,,
ゴールデンウィークも花粉が大飛散していて外出出来ず悲しい。,False,,,,,
スマホが橋の下の川に落ちていった。,False,,,,,
折りたたみ日傘の骨が折れた,False,,,,,
長年使ってた筆記具ひ無くした,False,,,,,
youtubeのお気に入りの猫ちゃんが亡くなってしまった,True,1.0,,,,WEAK
ライブにいく予定だったのに骨折をしてしまい、あきらめた。,False,,,,,
妻が、ガンにかかった。,False,,,,,
近隣の家の屋根の上に一つだけ洗濯物が取り残されていました。暗くなったのに、そのままです。あまり付き合いのないお宅でしたが、思い切って電話で連絡しました。数日後に顔を合わせる機会があり、ご夫婦に改めてお礼を言われました。,False,,,,,
巨人が0連敗して悲しい。,False,,,,,
昨年0代の叔母がこの世をさりました。足腰は弱ったものの健康そのものでしたが、食後に食べたお菓子を誤嚥し、あっという間の出来事でした。,True,1.0,,,,WEAK
実家の猫が亡くなった、それ以上に母親が辛そうだったのが悲しい,True,1.0,,,,WEAK
悲しいこともたくさんありました,False,,,,,
ひと月前に種まきしたキュウリの苗が、昨日の暴風雨でぽきっと折れてしまったこと。,False,,,,,
今年に入って、ymoのメンバーの高橋幸宏、坂本龍一がなくなってとても悲しい気持ちでいる。,True,1.0,,,,WEAK
実母の認知症が進行し、わたしのことがわからなくなってきたこと。,True,1.0,,,,WEAK
gwでお金がたくさん出て行って悲しい,False,,,,,
スロットで0日、0万円ものマイナスが・・・,False,,,,,
せっかく移植したオオヤマレンゲが咲かない,False,,,,,
外出先でスマホのバッテリーがなくなった,False,,,,,
ウーバーワールドというグループのライブでチケット販売後に男性はアリーナ席で女性は0階席に配置されて女性ファンが悲しんでいるニュースを見てひどいグループだなと悲しくなった。,False,,,,,
夏休みが終わってしまった,False,,,,,
クーポンが使えなかった,False,,,,,
久しぶりに飼い始めた犬が思った以上におりこうさんで、いろんなことを身構えていたのでうれしいことです。,False,,,,,
父の命日に父を思い出してとても悲しくなりました。,True,1.0,,,,STRONG
親が亡くなったとき、やっぱ悲しかった。,True,1.0,,,,WEAK
フリマ出品者が自身に非があるにも関わらず、お互い言い分はあるでしょうが、などと分けのわからないことを言い、返送時の送料も巧みな手を使ってこちら持ちにするという、腹が立ったというより、嗚呼こんな人が居るのかとなんだかすごく悲しかった。,False,,,,,
好きだったアーティストがなくなった,True,1.0,,,,WEAK
クラウドソーシングで、応募したかったタスクの締め切りがはやくて応募できなかったこと,False,,,,,
足腰が弱くなり、以前行けていたような場所までたどり着けず、悲嘆に暮れている。,False,,,,,
台風被害で犠牲になった方,False,,,,,
悲しいニュースはみんな,False,,,,,
以前の会社の部下が0歳にして突然死した,True,1.0,,,,WEAK
仕事中、在庫かなかった,False,,,,,
職場で仕事の成果物が上司に理解されず悲しかった。,True,,,1.0,,WEAK
楽しみにしていた花火大会が中止になった,False,,,,,
毎日毎日、近隣住民が嫌がらせの石を投げてくる。いると思われる部屋に向かって投げてきて、憂鬱で悲しい。,False,,,,,
台風の影響で旅行が中止になった,False,,,,,
うちのコになって0年の愛猫が亡くなってしまった。とてつもなく悲しい。,True,1.0,,,,STRONG
最近はではないが、一昨年0年間可愛がっていた愛犬が亡くなりました。,True,1.0,,,,WEAK
慢性膵炎になり大好きだった飲酒ができなくなり非常に悲しい。,False,,,,,
戦争を知る人間が減ってしまい、ベビーブーム世代の愚行が増えてアナログに引っ張られるなど余計な負担が増えた。,False,,,,,
親から理不尽に怒鳴られたこと。,True,1.0,,,,WEAK
食生活に気をつけていたのに体重が増えてる。,False,,,,,
気に入っていたメガネが壊れてしまった。販売終了しており再度購入も出来なかった。,False,,,,,
美味しくて気に入っていたお菓子が生産中止になってしまったこと。,False,,,,,
毎日孤独であり、鬱状態で過ごしているのが悲しいです。,True,,,,1.0,STRONG
大谷翔平選手がトレードで放出されずにエンゼルスに残留したこと,False,,,,,
人の心がどんどん冷たくなって行っていること。,False,,,,,
塗ったばかりのネイルが、ドアにぶつけて剥げてしまった。,False,,,,,
仕事の中身が変わってしまい、メンバーも変更になってしまったこと。,False,,,,,
欲しかった限定ケーキがデパートで売り切れていた,False,,,,,
老いた母が施設に入っているがコロナ対策で面会とか制限されている。,False,,,,,
スーパーで擦れ違った見知らぬ人の柔軟剤の臭いが強くて具合が悪くなった。,False,,,,,
孫に会えない。仕事が忙しく、なかなか孫に会う時間が作れない。,True,1.0,,,,WEAK
同居している。0代の母と嫁が喧嘩した。,False,,,,,
マウイ島が火事で燃えてしまったこと,False,,,,,
子犬から育てていたペットが突然体調崩して死んだ,True,1.0,,,,WEAK
よく見かけたノラネコを最近見ない,False,,,,,
仕事関係の先輩が亡くなった,True,1.0,,,,WEAK
ポイントが大量失効した。,False,,,,,
ロシア‐ウクライナ戦争,False,,,,,
田舎だと人のうわさになること,False,,,,,
飼っていたインコがしんで悲しい,True,1.0,,,,WEAK
買ったばかりのものが壊れた,False,,,,,
母のボケが進行中であること、何を言ってるのかわからない。,False,,,,,
同級生が次々と癌になったり体調を崩して亡くなっていく。,True,1.0,,,,WEAK
喉の炎症で二週間熱があり悲しかった,False,,,,,
息子の就職先内々定が決まったこと,False,,,,,
最近体調を崩して仕事が出来なくなった,True,,,1.0,,WEAK
畑で栽培しているブルーベリーが暑さで変質してしまったことが悲しい,False,,,,,
中学校の時の恩師が亡くなった,True,1.0,,,,WEAK
台風の影響で、最終日の阿波踊りが中止,False,,,,,
私は警備の仕事をしているが、0歳ぐらいの若者が酔っ払って堂々と関係ない施設に侵入して止めても堂々と自分が悪くないと主張することがある。,False,,,,,
自分はかからないと思っていたのに、コロナの陽性になってしまった。,False,,,,,
台風で天気が悪くて悲しい,False,,,,,
実の父が急に亡くなった,True,1.0,,,,WEAK
高校時代のクラスメイトが自殺したこと。,True,1.0,,,,WEAK
体調が良くならないこと。,False,,,,,
義理の父が、最近うつ状態になっている。病気がきっかけになっているらしいが、自分も含め老いについて考えると悲しくなってくる。,False,,,,,
父親、叔父が近い年月で亡くなった事,True,1.0,,,,WEAK
ガンバ大阪の無敗が0試合でストップ,False,,,,,
父ががんで亡くなったこと,True,1.0,,,,WEAK
娘を昼食に誘ったが断わられた,True,1.0,,1.0,,WEAK
0円どこかに忘れたみたいでそれを思い出せなくて悲しい,False,,,,,
幼い時に飼っていた犬に死なれてしまったこと。,True,1.0,,,,WEAK
息子が水温計異常ランプが赤くついてるのに、0ヶ月前に車検受けてるし大丈夫と走った結果、車を廃車にするしかありませんでした。車検費無駄になり車購入費用まで凄い出費になりました,False,,,,,
台風や大雨で亡くなった人がいる,False,,,,,
日本のロック界をけん引していたギタリスト白田一秀さんが亡くなった事。,True,1.0,,,,WEAK
日々様々な出来事が起きて色々な報道され話題となるが、ニュースの方向性が報道する側の偏った考え方で伝えられたり、一方向の意見を有利に伝えるような表現の仕方を行ったりする政治色を高めたメディアやマスコミが多くて、この国を本当に良くしたいといった議論が展開されないことが人間の争いの本当の姿を見るようで非常に悲しく思う,False,,,,,
パートナーに会えないこと,True,1.0,,,,WEAK
飼っていた犬が亡くなったこと,True,1.0,,,,WEAK
逆ギレされましたあまりにもしつこく言ってくるので、押し付けはだめだよといったら,False,,,,,
しょうがをすってたら、指まですったこと,False,,,,,
アルコール依存症で、入院した。,False,,,,,
病気がなかなか治らないこと,False,,,,,
大好きな仔ライオンの移動が決まったこと。,True,1.0,,,,WEAK
妻と些細なことで言い合いになってしまった,True,1.0,,,,WEAK
先日見たニュースで、散歩中の犬が車に撥ねられ、死んでしまった事故がありました。写真を見ると、ウチの飼い犬とよく似ていたので、他人事には思えず、たいへん悲しい気持ちになりました。因みに、犬を撥ねた車はそのまま逃げ去ったと聞いて更に悲しくなりました。,False,,,,,
パチスロに負けてかなしい,False,,,,,
ガソリン代が上がって悲しい,False,,,,,
投資していた金額が減った。,False,,,,,
愛犬の幼なじみの犬が亡くなったこと。,True,1.0,,,,WEAK
近所のに絡まれて不眠気味になった,False,,,,,
立て続けに観た戦争映画,False,,,,,
物価が高くて買い物行くと、品物が高くて買えない,False,,,,,
岸田氏が国民の声を全く聴かず、ざっぱざっぱと海外にお金をばらまいている,False,,,,,
自転車でぶつかられた。,False,,,,,
髪のボリュームが減っていくこと,False,,,,,
親の意見と自分の意見が合わない,True,1.0,,1.0,,WEAK
買い物をした際、他の店で同じものが0円安く売られているのを見たこと,False,,,,,
母親が亡くなったこと。,True,1.0,,,,WEAK
0歳の時、母親が女性特有のがんと持病の糖尿病の合併症により多臓器不全で亡くなった。,True,1.0,,,,WEAK
友人が事故で死んだこと,True,1.0,,,,WEAK
家庭菜園のかぼちゃが盗まれて悲しかったです。,False,,,,,
重病を患っている妻が何事もないように振る舞っている姿を見るとたまらなく悲しい,False,,,,,
近所の親しくしていた人が亡くなりました。,True,1.0,,,,WEAK
うっかりしていて、財布をなくした。,False,,,,,
水難事故をニュースで知った,False,,,,,
愛猫が浣腸をしないと便が出なくなって何度も病院に連れて行って可哀そうな思いをさせたこと,False,,,,,
友人の死亡、一人暮らしだったそうだが、心臓発作で亡くなった。,True,1.0,,,,WEAK
財布を落としてしまったこと。,False,,,,,
世界中で災害が起きていること,False,,,,,
0年近く自分の趣味の物を保管していた部屋がゴキブリが繁殖し、保存していた箱などに糞がこびりついて、紙類だと完全に落とせないため、最初から殺虫剤や忌避剤を設置すればと後悔しつつ、惨状に悲しい,False,,,,,
夏の賞与が少なく夏休みに子どもたちを何処にも連れていけなくて悲しかった。,False,,,,,
初対面の女性に弄ばれた,False,,,,,
地元のサッカーチーム「浦和レッズ」が天皇杯の名古屋戦で不甲斐ない配膳を喫し、相手サポの挑発に乗って暴力事件を起こしたこと。,False,,,,,
女子サッカーワールドカップにおいて日本チームが準々決勝で敗退したこと,False,,,,,
買っていたペットが最近亡くなったのがとても悲しい。,True,1.0,,,,WEAK
嫁が生活費をゲームに使い込んだ,False,,,,,
好きな飲食店がコロナ禍のせいか、何軒か閉店したこと...,False,,,,,
ハワイのマウイ島で起きた山火事による被害映像を見て、悲しくなりました。,False,,,,,
旭川の中学生のニュースを見た時,False,,,,,
祖母の老化が一気に進んでるようで、会うたびに心配になること。,False,,,,,
姪に贈り物と手紙を送ったのに、未だに返事がない。,True,1.0,,,,WEAK
天気予報では雨が振らない予想だったのに、出かけたら雨が降ってきた。,False,,,,,
エアコンの冷房が効かなくて今年の夏は最悪だ,False,,,,,
家族が重い病気になった,False,,,,,
愛用していた自転車のフレームが亀裂が入って再起不能になった,False,,,,,
現場に嫌な人がいるので 悲しい,False,,,,,
最近父方の叔父が亡くなりました。病気により数年前に両足を切断し、義足を付けていました。とても親身になってくれる叔父だったのでとても悲しい思いをしました。,True,1.0,,,,STRONG
クラウドソーシングのタスクが激減した,False,,,,,
職場の部下が、自分は仕事に向いていないと泣いていたこと,False,,,,,
ポイントキャンペーンのキーワードを入れ忘れたこと,False,,,,,
母親が入院してしまったこと,False,,,,,
話題の映画を観に行ったが余りおもしろいところも無く少し悲しさを感じた,False,,,,,
退去時の保証金返金が少なかった。,False,,,,,
知り合いの方が少し認知機能が衰えてきている,False,,,,,
旅行中、その国の人が冷たかった。,True,,,1.0,,WEAK
お盆の時期ということもあって、ツイッターで帰省とかの話をよく見ていたが。もう帰省先が無いことは悲しかった,True,1.0,,,,WEAK
会社の新人が急に辞めた,False,,,,,
父親が自宅で息を引き取ったとき,True,1.0,,,,WEAK
駅にタクシーが一台もいなかった。,False,,,,,
何をやってもうまく行かない,False,,,,,
会社の人に悪口を言われた,True,,,1.0,,WEAK
